LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,CLASSTYPE,LONG_COMMON_NAME
43706-1,Cytomegalovirus,Presence or Threshold,Point in time (spot),Anal,Ord,Shell vial culture,Microbiology,1,Cytomegalovirus [Presence] in Anal by Shell vial culture
43707-9,Cytomegalovirus,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,Shell vial culture,Microbiology,1,Cytomegalovirus [Presence] in Tissue by Shell vial culture
43708-7,Alkaline phosphatase.liver+bone,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Alkaline phosphatase.liver+bone [Presence] in Serum or Plasma
43709-5,Alkaline phosphatase.intestinal+renal,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Alkaline phosphatase.intestinal+renal [Presence] in Serum or Plasma
43710-3,Alkaline phosphatase.heat stable,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,Heat stability,Chemistry - non-challenge,1,Alkaline phosphatase.heat stable [Presence] in Serum or Plasma by Heat stability
4371-1,Oxymesterone,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Oxymesterone [Mass] of Dose
43711-1,Albumin,Presence or Threshold,Point in time (spot),Cerebral spinal fluid,Ord,"",Chemistry - non-challenge,1,Albumin [Presence] in Cerebral spinal fluid
43712-9,Albumin,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Albumin [Presence] in Serum or Plasma
43713-7,Albumin,Presence or Threshold,Point in time (spot),Body fluid,Ord,"",Chemistry - non-challenge,1,Albumin [Presence] in Body fluid
43714-5,Adenovirus Ab,Presence or Threshold,Point in time (spot),XXX,Ord,"",Microbiology,1,Adenovirus Ab [Presence] in Specimen
43715-2,Acylcarnitine,Presence or Threshold,Point in time (spot),Blood,Ord,"",Chemistry - non-challenge,1,Acylcarnitine [Presence] in Blood
43716-0,Acylcarnitine,Presence or Threshold,Point in time (spot),Urine,Ord,"",Chemistry - non-challenge,1,Acylcarnitine [Presence] in Urine
43717-8,Acylcarnitine,Presence or Threshold,Point in time (spot),DBS,Ord,"",Chemistry - non-challenge,1,Acylcarnitine [Presence] in DBS
43718-6,Acid phosphatase.prostatic,Presence or Threshold,Point in time (spot),Serum,Ord,"",Chemistry - non-challenge,1,Prostatic acid phosphatase [Presence] in Serum
43719-4,Acetaminophen+oxyCODONE,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Drug toxicology,1,Acetaminophen+oxyCODONE [Presence] in Serum or Plasma
43720-2,Acetaminophen+Codeine,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Drug toxicology,1,Acetaminophen+Codeine [Presence] in Serum or Plasma
43721-0,Acetaldehyde+Paraldehyde,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Drug toxicology,1,Acetaldehyde+Paraldehyde [Presence] in Serum or Plasma
43722-8,5-Ethyl-5-Phenylhydantoin,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,5-Ethyl-5-Phenylhydantoin [Presence] in Specimen
43723-6,"5,10-Methylenetetrahydrofolate reductase",Presence or Threshold,Point in time (spot),Serum,Ord,"",Chemistry - non-challenge,1,"5,10-Methylenetetrahydrofolate reductase [Presence] in Serum"
43724-4,"2,5-Dichlorophenol",Presence or Threshold,Point in time (spot),Urine,Ord,"",Drug toxicology,1,"2,5-Dichlorophenol [Presence] in Urine"
43725-1,"2,4-Dichlorophenol",Presence or Threshold,Point in time (spot),Urine,Ord,"",Drug toxicology,1,"2,4-Dichlorophenol [Presence] in Urine"
43726-9,17-Ketogenic steroids,Presence or Threshold,24 hours,Urine,Ord,"",Chemistry - non-challenge,1,17-Ketogenic steroids [Presence] in 24 hour Urine
43727-7,Lipoprotein.beta.subparticle.small,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Lipoprotein.beta.subparticle.small [Moles/volume] in Serum or Plasma
43728-5,Lipoprotein.pre-beta.subparticle.large,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Lipoprotein.pre-beta.subparticle.large [Moles/volume] in Serum or Plasma
4372-9,Oxymetholone,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Oxymetholone [Mass] of Dose
43729-3,Lipoprotein.alpha.subparticle.large,Substance Concentration,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Lipoprotein.alpha.subparticle.large [Moles/volume] in Serum or Plasma
43730-1,Epstein Barr virus DNA,Arbitrary Concentration,Point in time (spot),Serum or Plasma,Qn,Probe.amp.tar,Microbiology,1,Epstein Barr virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection
43731-9,Alkaline phosphatase.fetal+lung+lymphocyte,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Alkaline phosphatase.fetal+lung+lymphocyte [Presence] in Serum or Plasma
43732-7,4-Hydroxybenzoate,Presence or Threshold,Point in time (spot),Urine,Ord,"",Drug toxicology,1,4-Hydroxybenzoate [Presence] in Urine
43733-5,4-Hydroxybenzoate,Presence or Threshold,24 hours,Urine,Ord,"",Drug toxicology,1,4-Hydroxybenzoate [Presence] in 24 hour Urine
43734-3,aPTT,Time (e.g. seconds),Point in time (spot),Platelet poor plasma,Qn,Coag.saline 1:1,Coagulation,1,aPTT in Platelet poor plasma by Coagulation 1:1 saline
43735-0,Coagulation surface induced.factor substitution^immediately after addition of normal plasma,Time (e.g. seconds),Point in time (spot),Platelet poor plasma,Qn,Coag,Coagulation,1,Deprecated Activated partial thrombplastin time (aPTT).factor substitution in Platelet poor plasma by Coagulation assay --immediately after 1:1 addition of normal plasma
43736-8,Fosamprenavir,Susceptibility (microorganisms),Point in time (spot),Isolate,Ord,Genotyping,Antibiotic susceptibilities,1,Fosamprenavir [Susceptibility] by Genotype method
4373-7,Oxyphenbutazone,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Oxyphenbutazone [Mass] of Dose
43737-6,Tipranavir,Susceptibility (microorganisms),Point in time (spot),Isolate,Ord,Genotyping,Antibiotic susceptibilities,1,Tipranavir [Susceptibility] by Genotype method
43738-4,Coagulation dilute Russell viper venom induced.factor substitution^immediately after addition of normal plasma,Time (e.g. seconds),Point in time (spot),Platelet poor plasma,Qn,Coag,Coagulation,1,Deprecated Dilute Russell viper venom time (dRVVT) factor substitution in Platelet poor plasma by Coagulation assay --immediately after addition of normal plasma
43739-2,Blood group Ag,Impression/interpretation of study,Point in time (spot),RBC^BPU,Nom,"",Blood bank,1,Blood group Ag [Interpretation] on Red Blood Cells from Blood product unit
437-4,Rolitetracycline,Susceptibility (microorganisms),Point in time (spot),Isolate,OrdQn,Agar diffusion,Antibiotic susceptibilities,1,Rolitetracycline [Susceptibility] by Disk diffusion (KB)
43740-0,Glucose/Insulin,Mass Ratio,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Glucose/Insulin [Mass Ratio] in Serum or Plasma
43741-8,Temperature,Temperature,Point in time (spot),Semen,Qn,"",Fertility testing,1,Temperature of Semen
43742-6,Time next dose,Time Stamp (Date and Time),Point in time (spot),^Patient,Qn,"",Drug doses,1,Time next dose
43743-4,Variant lymphocytes,Number Concentration,Point in time (spot),Blood,Qn,Automated count,Hematology and Cell counts,1,Variant lymphocytes [#/volume] in Blood by Automated count
43744-2,COX10 gene targeted mutation analysis,Finding,Point in time (spot),Blood or Tissue,Doc,Molgen,Mutations,1,COX10 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
4374-5,Para methylhippurate,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Para methylhippurate [Mass] of Dose
43745-9,DYS gene mutations tested for,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,DYS gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal
43746-7,KCNQ1 gene targeted mutation analysis,Finding,Point in time (spot),Blood or Tissue,Doc,Molgen,Mutations,1,KCNQ1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
43747-5,OCA2 gene targeted mutation analysis,Presence or Identity,Point in time (spot),Blood or Tissue,Nom,Molgen,Mutations,1,OCA2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal
43748-3,SCO1 gene targeted mutation analysis,Finding,Point in time (spot),Blood or Tissue,Doc,Molgen,Mutations,1,SCO1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
43749-1,SCO2 gene targeted mutation analysis,Finding,Point in time (spot),Blood or Tissue,Doc,Molgen,Mutations,1,SCO2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
43750-9,SURF1 gene targeted mutation analysis,Finding,Point in time (spot),Blood or Tissue,Doc,Molgen,Mutations,1,SURF1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method
43751-7,Moxifloxacin,Mass Concentration,Point in time (spot),Serum or Plasma,Qn,"",Drug toxicology,1,Moxifloxacin [Mass/volume] in Serum or Plasma
4375-2,Para hydroxyamphetamine,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Para hydroxyamphetamine [Mass] of Dose
43752-5,Aquaporin 4 water channel IgG,Arbitrary Concentration,Point in time (spot),Serum or Plasma,Qn,IF,Serology - non-micro,1,Aquaporin 4 water channel IgG Ab [Units/volume] in Serum or Plasma by Immunofluorescence
43753-3,Spermatozoa IgM binding location,Presence or Identity,Point in time (spot),Semen,Nom,"",Fertility testing,1,Spermatozoa IgM binding location [Identifier] in Semen
43754-1,Sulfate,Mass Concentration,Unspecified,Urine,Qn,"",Chemistry - non-challenge,1,Sulfate [Mass/volume] in Urine collected for unspecified duration
43755-8,Casts,Number Areic (per area),Point in time (spot),Urine sediment,Qn,Automated count,Urinalysis,1,Casts [#/area] in Urine sediment by Automated count
43756-6,Guidance for percutaneous fluid aspiration,Finding,Point in time (spot),Breast,Doc,US,Radiology,2,US Guidance for fluid aspiration of Breast
43757-4,Guidance for percutaneous fine needle aspiration,Finding,Point in time (spot),Kidney,Doc,CT,Radiology,2,CT Guidance for fine needle aspiration of Kidney
43758-2,Guidance for localization,Finding,Point in time (spot),Breast Left,Doc,US,Radiology,2,US Guidance for localization of Breast - left
43759-0,Guidance for localization,Finding,Point in time (spot),Breast Bilateral,Doc,US,Radiology,2,US Guidance for localization of Breast - bilateral
4376-0,Paraldehyde,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Paraldehyde [Mass] of Dose
43760-8,Guidance for localization,Finding,Point in time (spot),Breast Right,Doc,US,Radiology,2,US Guidance for localization of Breast - right
43761-6,Guidance for thrombectomy^W contrast IV,Finding,Point in time (spot),Vein - bilateral,Doc,RF.angio,Radiology,2,RFA Guidance for thrombectomy of Vein - bilateral-- W contrast IV
43762-4,Guidance for thrombectomy^W contrast IV,Finding,Point in time (spot),Vein Left,Doc,RF.angio,Radiology,2,RFA Guidance for thrombectomy of Vein - left-- W contrast IV
43763-2,Guidance for thrombectomy^W contrast IV,Finding,Point in time (spot),Vein,Doc,RF.angio,Radiology,2,RFA Guidance for thrombectomy of Vein-- W contrast IV
43764-0,Guidance for thrombectomy^W contrast IV,Finding,Point in time (spot),Vein Right,Doc,RF.angio,Radiology,2,RFA Guidance for thrombectomy of Vein - right-- W contrast IV
43765-7,Multisection,Finding,Point in time (spot),Carotid arteries - bilateral,Doc,US.doppler,Radiology,2,US.doppler Carotid arteries - bilateral
43766-5,Multisection^W contrast IV,Finding,Point in time (spot),Kidney - bilateral,Doc,CT,Radiology,2,CT Kidney - bilateral W contrast IV
43767-3,Multisection,Finding,Point in time (spot),Kidney - bilateral,Doc,CT,Radiology,2,CT Kidney - bilateral
43768-1,Multisection^WO & W contrast IV,Finding,Point in time (spot),Kidney,Doc,CT,Radiology,2,CT Kidney WO and W contrast IV
43769-9,Multisection^WO & W contrast IV,Finding,Point in time (spot),Brain and Internal auditory canal,Doc,MR,Radiology,2,MR Brain and Internal auditory canal WO and W contrast IV
43770-7,Multisection^WO contrast,Finding,Point in time (spot),Kidney,Doc,CT,Radiology,2,CT Kidney WO contrast
43771-5,Multisection,Finding,Point in time (spot),Extremity vessels,Doc,US.doppler,Radiology,2,US.doppler Extremity vessels
43772-3,Multisection,Finding,Point in time (spot),Brain and Internal auditory canal,Doc,MR,Radiology,2,MR Brain and Internal auditory canal
43773-1,Multisection^WO contrast,Finding,Point in time (spot),Kidney,Doc,MR,Radiology,2,MR Kidney WO contrast
43774-9,Multisection,Finding,Point in time (spot),Kidney - bilateral,Doc,US,Radiology,2,US Kidney - bilateral
43775-6,Multisection^WO & W contrast IV,Finding,Point in time (spot),Kidney,Doc,MR,Radiology,2,MR Kidney WO and W contrast IV
43776-4,Multisection limited,Finding,Point in time (spot),Iliac artery,Doc,US.doppler,Radiology,2,US.doppler Iliac artery limited
43777-2,Views perfusion^at rest+W adenosine+W Tl-201 IV,Finding,Point in time (spot),Heart,Doc,NM,Radiology,2,NM Heart Perfusion at rest and W adenosine and W Tl-201 IV
4377-8,Pefloxacin,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Pefloxacin [Mass] of Dose
43778-0,View AP supine,Finding,Point in time (spot),Chest,Doc,XR.portable,Radiology,2,Portable XR Chest AP supine
43779-8,View Sunrise,Finding,Point in time (spot),Knee - left,Doc,XR,Radiology,2,XR Knee - left Sunrise
43780-6,View Sunrise,Finding,Point in time (spot),Knee,Doc,XR,Radiology,2,XR Knee Sunrise
43781-4,Views,Finding,Point in time (spot),Spine cervicothoracic junction,Doc,XR,Radiology,2,XR Spine cervicothoracic junction Views
43782-2,Views^W contrast IA,Finding,Point in time (spot),Iliac artery,Doc,RF.angio,Radiology,2,RFA Iliac artery Views W contrast IA
43783-0,Views for renin sampling^W contrast IV,Finding,Point in time (spot),Renal vein,Doc,RF.angio,Radiology,2,RFA Renal vein Views for renin sampling W contrast IV
43784-8,Views 2,Finding,Point in time (spot),Spine cervical and Spine thoracic and Spine lumbar,Doc,XR,Radiology,2,XR Cervical and thoracic and lumbar spine 2 Views
43785-5,Views AP and lateral,Finding,Point in time (spot),Spine cervicothoracic junction,Doc,XR,Radiology,2,XR Spine cervicothoracic junction AP and Lateral
4378-6,Pemoline,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Pemoline [Mass] of Dose
43786-3,Views AP (supine KUB and upright) and PA upright chest,Finding,Point in time (spot),Abdomen+Chest,Nar,XR,Radiology,2,Deprecated Abdomen & Chest X-ray AP (supine & upright) & PA chest
43787-1,Views for dental measurement,Finding,Point in time (spot),Skull and Facial bones and Mandible,Doc,XR,Radiology,2,XR Skull and Facial bones and Mandible Views for dental measurement
43788-9,Views for patency^W contrast via tube,Finding,Point in time (spot),Tube,Doc,RF,Radiology,2,RF Tube Views for patency W contrast via tube
43789-7,Views for patency^W Tc-99m IV,Finding,Point in time (spot),Liver and Biliary ducts and Gallbladder,Doc,NM,Radiology,2,NM Liver and Biliary ducts and Gallbladder Views for patency W Tc-99m IV
43790-5,Views Grashey and Y,Finding,Point in time (spot),Shoulder - right,Doc,XR,Radiology,2,XR Shoulder - right Grashey and Y
43791-3,Views oblique,Finding,Point in time (spot),Spine lumbar,Doc,XR,Radiology,2,XR Lumbar spine Oblique Views
43792-1,Guidance for angioplasty^W contrast IA,Finding,Point in time (spot),Tibioperoneal arteries Right,Doc,RF.angio,Radiology,2,RFA Guidance for angioplasty of Tibioperoneal arteries - right-- W contrast IA
43793-9,Guidance for angioplasty^W contrast IA,Finding,Point in time (spot),Tibioperoneal arteries,Doc,RF.angio,Radiology,2,RFA Guidance for angioplasty of Tibioperoneal arteries-- W contrast IA
4379-4,Penicillin G benzathine,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Penicillin G benzathine [Mass] of Dose
43794-7,Guidance for angioplasty^W contrast IA,Finding,Point in time (spot),Tibioperoneal arteries Bilateral,Doc,RF.angio,Radiology,2,RFA Guidance for angioplasty of Tibioperoneal arteries - bilateral-- W contrast IA
43795-4,Guidance for angioplasty^W contrast IA,Finding,Point in time (spot),Tibioperoneal arteries Left,Doc,RF.angio,Radiology,2,RFA Guidance for angioplasty of Tibioperoneal arteries - left-- W contrast IA
43796-2,Views Carpal tunnel,Finding,Point in time (spot),Wrist Bilateral,Doc,XR,Radiology,2,XR Wrist - bilateral Carpal tunnel Views
43797-0,Guidance for superficial biopsy,Finding,Point in time (spot),Lymph node,Doc,US,Radiology,2,US Guidance for superficial biopsy of Lymph node
43798-8,Alpha-1-Fetoprotein,Presence or Threshold,Point in time (spot),Amniotic fluid,Ord,"",Chemistry - non-challenge,1,Alpha-1-Fetoprotein [Presence] in Amniotic fluid
43799-6,Choriogonadotropin.beta subunit,Presence or Threshold,Point in time (spot),XXX,Ord,"",Chemistry - non-challenge,1,Choriogonadotropin.beta subunit [Presence] in Specimen
43800-2,Choriogonadotropin.beta subunit,Presence or Threshold,Point in time (spot),Cerebral spinal fluid,Ord,"",Chemistry - non-challenge,1,Choriogonadotropin.beta subunit [Presence] in Cerebral spinal fluid
43801-0,Choriogonadotropin.intact,Arbitrary Concentration,Point in time (spot),Amniotic fluid,Qn,"",Chemistry - non-challenge,1,Choriogonadotropin.intact [Units/volume] in Amniotic fluid
4380-2,Penicillin G potassium,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Penicillin G potassium [Mass] of Dose
43802-8,Estriol,Mass Concentration,24 hours,Urine,Qn,"",Chemistry - non-challenge,1,Estriol (E3) [Mass/volume] in 24 hour Urine
43803-6,Estriol^^adjusted,Multiple of the median,Point in time (spot),Serum or Plasma,Qn,"",Chemistry - non-challenge,1,Estriol (E3) [Multiple of the median] adjusted in Serum or Plasma
43804-4,Amino acid pattern,Impression/interpretation of study,Point in time (spot),Cerebral spinal fluid,Nom,"",Chemistry - non-challenge,1,Amino acid pattern [Interpretation] in Cerebral spinal fluid
43805-1,Urease^1H post incubation,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,"",Microbiology,1,Urease [Presence] in Tissue --1 hour post incubation
43806-9,Urease^20M post incubation,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,"",Microbiology,1,Urease [Presence] in Tissue --20 minutes post incubation
43807-7,Urease^4H post incubation,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,"",Microbiology,1,Urease [Presence] in Tissue --4 hours post incubation
43808-5,Urease^30M post incubation,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,"",Microbiology,1,Urease [Presence] in Tissue --30 minutes post incubation
43809-3,Arsenic,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,"",Drug toxicology,1,Arsenic [Presence] in Tissue
4381-0,Penicillin G procaine,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Penicillin G procaine [Mass] of Dose
43810-1,Rubella virus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Rubella virus Ab [Presence] in Serum by Immunoassay
43811-9,Propoxyphene,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Propoxyphene [Presence] in Specimen
43812-7,Influenza virus A Ab,Arbitrary Concentration,Point in time (spot),Serum,Ord,"",Microbiology,1,Deprecated Influenza virus A Ab [Presence] in Serum
43813-5,Reagin Ab,Presence or Threshold,Point in time (spot),Blood cord,Ord,"",Microbiology,1,Reagin Ab [Presence] in Cord blood
43814-3,Basement membrane IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Serology - non-micro,1,Basement membrane IgG Ab [Presence] in Serum by Immunoassay
43815-0,Arsenic,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Arsenic [Presence] in Specimen
43816-8,Amylase,Presence or Threshold,Point in time (spot),Body fluid,Ord,"",Chemistry - non-challenge,1,Amylase [Presence] in Body fluid
43817-6,Androstenedione,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Androstenedione [Presence] in Serum or Plasma
43818-4,Beta-2-Microglobulin,Presence or Threshold,Point in time (spot),Serum,Ord,"",Chemistry - non-challenge,1,Beta-2-Microglobulin [Presence] in Serum
43819-2,Beta-2-Microglobulin,Presence or Threshold,Point in time (spot),Urine,Ord,"",Chemistry - non-challenge,1,Beta-2-Microglobulin [Presence] in Urine
438-2,Rolitetracycline,Titer,Point in time (spot),Isolate and Serum,Qn,SBT,Antibiotic susceptibilities,1,Rolitetracycline [Susceptibility] by Serum bactericidal titer
43820-0,Bilirubin.glucuronidated+Bilirubin.albumin bound,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Bilirubin.direct [Presence] in Serum or Plasma
43821-8,Amylase,Presence or Threshold,24 hours,Urine,Ord,"",Chemistry - non-challenge,1,Amylase [Presence] in 24 hour Urine
43822-6,Aspartate aminotransferase,Presence or Threshold,Point in time (spot),Body fluid,Ord,"",Chemistry - non-challenge,1,Aspartate aminotransferase [Presence] in Body fluid
43823-4,Aspergillus glaucus Ab,Presence or Threshold,Point in time (spot),Serum,Ord,Immune diffusion,Microbiology,1,Aspergillus glaucus Ab [Presence] in Serum by Immune diffusion (ID)
43824-2,Bilirubin,Presence or Threshold,Point in time (spot),Body fluid,Ord,"",Chemistry - non-challenge,1,Bilirubin.total [Presence] in Body fluid
43825-9,Arsenic,Presence or Threshold,Point in time (spot),Gastric fluid,Ord,"",Drug toxicology,1,Arsenic [Presence] in Gastric fluid
43826-7,Androstanolone,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Androstanolone [Presence] in Serum or Plasma
43827-5,Barbiturates,Mass Concentration,Point in time (spot),XXX,Qn,"",Drug toxicology,1,Barbiturates [Mass/volume] in Specimen
4382-8,Penicillin V potassium,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Penicillin V potassium [Mass] of Dose
43828-3,Benzodiazepines,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Benzodiazepines [Presence] in Specimen
43829-1,Caffeine,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Caffeine [Presence] in Specimen
43830-9,Nicotine,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Nicotine [Presence] in Specimen
43831-7,Phenytoin,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Phenytoin [Presence] in Specimen
43832-5,quiNIDine,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,quiNIDine [Presence] in Specimen
43833-3,quiNINE,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,quiNINE [Presence] in Specimen
43834-1,Tetrahydrocannabinol,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Tetrahydrocannabinol [Presence] in Specimen
43835-8,Apolipoprotein E,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Chemistry - non-challenge,1,Apolipoprotein E [Presence] in Serum or Plasma
4383-6,Pentazocine,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Pentazocine [Mass] of Dose
43836-6,Beta globulin,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,Electrophoresis,Chemistry - non-challenge,1,Beta globulin [Presence] in Serum or Plasma by Electrophoresis
43837-4,Influenza virus A IgG,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Influenza virus A IgG Ab [Presence] in Serum
43838-2,Influenza virus A IgM,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Influenza virus A IgM Ab [Presence] in Serum
43839-0,Influenza virus B IgG,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Influenza virus B IgG Ab [Presence] in Serum
43840-8,Influenza virus B IgM,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Influenza virus B IgM Ab [Presence] in Serum
43841-6,Betula populifolia Ab.IgE.RAST class,Presence or Threshold,Point in time (spot),Serum,Ord,"",Allergy,1,White Birch IgE Ab RAST class [Presence] in Serum
43842-4,Borrelia burgdorferi Ab,Titer,Point in time (spot),Serum,Qn,IA,Microbiology,1,Borrelia burgdorferi Ab [Titer] in Serum by Immunoassay
43843-2,Brucella abortus IgG,Arbitrary Concentration,Point in time (spot),Serum,Qn,IA,Microbiology,1,Brucella abortus IgG Ab [Units/volume] in Serum by Immunoassay
4384-4,Pentetrazol,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,Pentetrazol [Mass] of Dose
43844-0,Chlamydophila pneumoniae IgM,Presence or Threshold,Point in time (spot),Serum,Ord,IF,Microbiology,1,Chlamydophila pneumoniae IgM Ab [Presence] in Serum by Immunofluorescence
43845-7,Chlamydophila pneumoniae Ab,Titer,Point in time (spot),Serum,Qn,IF,Microbiology,1,Chlamydophila pneumoniae Ab [Titer] in Serum by Immunofluorescence
43846-5,Chlamydophila sp Ab,Impression/interpretation of study,Point in time (spot),Serum,Nom,"",Microbiology,1,Chlamydophila sp Ab [Interpretation] in Serum
43847-3,Chlamydophila sp Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IF,Microbiology,1,Chlamydophila sp Ab [Presence] in Serum by Immunofluorescence
43848-1,Chlamydia trachomatis IgG,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Chlamydia trachomatis IgG Ab [Presence] in Serum
43849-9,Coccidioides sp IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Coccidioides sp IgG Ab [Presence] in Serum by Immunoassay
43850-7,Coccidioides sp IgM,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Coccidioides sp IgM Ab [Presence] in Serum by Immunoassay
4385-1,PENTobarbital,Mass,Point in time (spot),Dose,Qn,"",Drug doses,1,PENTobarbital [Mass] of Dose
43851-5,Influenza virus A IgA,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Influenza virus A IgA Ab [Presence] in Serum
43852-3,Influenza virus B IgA,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Influenza virus B IgA Ab [Presence] in Serum
43853-1,Legionella pneumophila 1+3+4+5+6+8 IgM,Presence or Threshold,Point in time (spot),Serum,Ord,"",Microbiology,1,Legionella pneumophila 1+3+4+5+6+8 IgM Ab [Presence] in Serum
43854-9,Mycobacterium sp rRNA,Presence or Threshold,Point in time (spot),XXX,Ord,Probe,Microbiology,1,Mycobacterium sp rRNA [Presence] in Specimen by Probe
43855-6,Urease^2H post incubation,Presence or Threshold,Point in time (spot),Tissue and Smears,Ord,"",Microbiology,1,Urease [Presence] in Tissue --2 hours post incubation
43856-4,Cells.CD3+CD25+/100 cells,Number Fraction,Point in time (spot),Body fluid,Qn,"",Cell markers,1,CD3+CD25+ cells/100 cells in Body fluid
43857-2,Benztropine,Presence or Threshold,Point in time (spot),Serum or Plasma,Ord,"",Drug toxicology,1,Benztropine [Presence] in Serum or Plasma
43858-0,Beta-2 transferrin,Presence or Threshold,Point in time (spot),XXX,Ord,"",Chemistry - non-challenge,1,Beta-2 transferrin [Presence] in Specimen
43859-8,Bolasterone,Presence or Threshold,Point in time (spot),XXX,Ord,"",Drug toxicology,1,Bolasterone [Presence] in Specimen
43860-6,Amphetamine+Methamphetamine,Presence or Threshold,Point in time (spot),Gastric fluid,Ord,Screen,Drug toxicology,1,Amphetamine+Methamphetamine [Presence] in Gastric fluid by Screen method
43861-4,Asialoganglioside GM1 Ab,Presence or Threshold,Point in time (spot),Serum,Ord,"",Serology - non-micro,1,Asialoganglioside GM1 Ab [Presence] in Serum
43862-2,Aspergillus sp Ab.IgE.RAST class,Presence or Threshold,Point in time (spot),Serum,Ord,"",Allergy,1,Aspergillus sp IgE Ab RAST class [Presence] in Serum
